rcid,country_code,date,pro_climate_vote,abstain_from_vote
1268,US,1971-12-05,0,0
1268,CA,1971-12-05,0,1
1268,CU,1971-12-05,1,0
1268,HT,1971-12-05,1,0
1268,DO,1971-12-05,1,0
1268,JM,1971-12-05,1,0
1268,TT,1971-12-05,1,0
1268,MX,1971-12-05,1,0
1268,GT,1971-12-05,1,0
1268,HN,1971-12-05,1,0
1268,SV,1971-12-05,1,0
1268,NI,1971-12-05,1,0
1268,CR,1971-12-05,1,0
1268,PA,1971-12-05,1,0
1268,CO,1971-12-05,1,0
1268,VE,1971-12-05,1,0
1268,GY,1971-12-05,1,0
1268,EC,1971-12-05,1,0
1268,PE,1971-12-05,1,0
1268,BR,1971-12-05,1,0
1268,BO,1971-12-05,1,0
1268,PY,1971-12-05,1,0
1268,CL,1971-12-05,1,0
1268,AR,1971-12-05,1,0
1268,UY,1971-12-05,1,0
1268,GB,1971-12-05,0,0
1268,IE,1971-12-05,0,1
1268,NL,1971-12-05,0,1
1268,BE,1971-12-05,0,1
1268,LU,1971-12-05,0,1
1268,FR,1971-12-05,0,1
1268,ES,1971-12-05,0,1
1268,PT,1971-12-05,0,1
1268,PL,1971-12-05,0,1
1268,AT,1971-12-05,0,1
1268,HU,1971-12-05,0,1
1268,CS,1971-12-05,0,1
1268,IT,1971-12-05,0,1
1268,MT,1971-12-05,0,1
1268,YU,1971-12-05,1,0
1268,GR,1971-12-05,0,1
1268,CY,1971-12-05,1,0
1268,BG,1971-12-05,0,1
1268,RO,1971-12-05,1,0
1268,RU,1971-12-05,0,1
1268,UA,1971-12-05,0,1
1268,BY,1971-12-05,0,1
1268,FI,1971-12-05,0,1
1268,SE,1971-12-05,0,1
1268,NO,1971-12-05,0,1
1268,DK,1971-12-05,0,1
1268,IS,1971-12-05,0,1
1268,GQ,1971-12-05,1,0
1268,ML,1971-12-05,1,0
1268,SN,1971-12-05,1,0
1268,BJ,1971-12-05,1,0
1268,MR,1971-12-05,1,0
1268,NE,1971-12-05,1,0
1268,CI,1971-12-05,1,0
1268,GN,1971-12-05,1,0
1268,BF,1971-12-05,1,0
1268,LR,1971-12-05,0,1
1268,GH,1971-12-05,0,1
1268,TG,1971-12-05,1,0
1268,CM,1971-12-05,1,0
1268,NG,1971-12-05,1,0
1268,GA,1971-12-05,1,0
1268,CF,1971-12-05,1,0
1268,TD,1971-12-05,1,0
1268,CG,1971-12-05,1,0
1268,CD,1971-12-05,1,0
1268,UG,1971-12-05,1,0
1268,KE,1971-12-05,1,0
1268,TZ,1971-12-05,1,0
1268,BI,1971-12-05,1,0
1268,RW,1971-12-05,1,0
1268,SO,1971-12-05,1,0
1268,ET,1971-12-05,1,0
1268,ZM,1971-12-05,1,0
1268,MW,1971-12-05,0,1
1268,ZA,1971-12-05,0,1
1268,LS,1971-12-05,1,0
1268,BW,1971-12-05,1,0
1268,SZ,1971-12-05,1,0
1268,MG,1971-12-05,1,0
1268,MA,1971-12-05,1,0
1268,DZ,1971-12-05,1,0
1268,TN,1971-12-05,1,0
1268,LY,1971-12-05,1,0
1268,SD,1971-12-05,1,0
1268,IR,1971-12-05,1,0
1268,TR,1971-12-05,1,0
1268,IQ,1971-12-05,1,0
1268,EG,1971-12-05,1,0
1268,SY,1971-12-05,1,0
1268,LB,1971-12-05,1,0
1268,JO,1971-12-05,1,0
1268,IL,1971-12-05,0,1
1268,SA,1971-12-05,1,0
1268,NA,1971-12-05,1,0
1268,YD,1971-12-05,1,0
1268,KW,1971-12-05,1,0
1268,BH,1971-12-05,1,0
1268,AE,1971-12-05,1,0
1268,OM,1971-12-05,1,0
1268,MN,1971-12-05,0,1
1268,JP,1971-12-05,0,1
1268,IN,1971-12-05,1,0
1268,PK,1971-12-05,1,0
1268,MM,1971-12-05,1,0
1268,LK,1971-12-05,1,0
1268,NP,1971-12-05,1,0
1268,TH,1971-12-05,1,0
1268,LA,1971-12-05,1,0
1268,MY,1971-12-05,1,0
1268,SG,1971-12-05,0,1
1268,PH,1971-12-05,1,0
1268,ID,1971-12-05,1,0
1268,AU,1971-12-05,0,1
1268,NZ,1971-12-05,0,1
2095,US,1980-10-01,0,1
2095,CA,1980-10-01,0,1
2095,CU,1980-10-01,1,0
2095,DO,1980-10-01,0,1
2095,JM,1980-10-01,1,0
2095,TT,1980-10-01,1,0
2095,MX,1980-10-01,1,0
2095,HN,1980-10-01,1,0
2095,NI,1980-10-01,1,0
2095,CR,1980-10-01,1,0
2095,PA,1980-10-01,1,0
2095,CO,1980-10-01,0,1
2095,VE,1980-10-01,1,0
2095,GY,1980-10-01,0,1
2095,EC,1980-10-01,0,1
2095,PE,1980-10-01,0,1
2095,BR,1980-10-01,0,1
2095,BO,1980-10-01,0,1
2095,CL,1980-10-01,0,1
2095,AR,1980-10-01,0,1
2095,GB,1980-10-01,0,1
2095,IE,1980-10-01,0,1
2095,NL,1980-10-01,0,1
2095,BE,1980-10-01,0,1
2095,LU,1980-10-01,0,1
2095,FR,1980-10-01,0,1
2095,ES,1980-10-01,0,1
2095,PT,1980-10-01,0,1
2095,NA,1980-10-01,0,1
2095,DD,1980-10-01,1,0
2095,PL,1980-10-01,1,0
2095,AT,1980-10-01,0,1
2095,HU,1980-10-01,1,0
2095,CS,1980-10-01,1,0
2095,IT,1980-10-01,0,1
2095,YU,1980-10-01,1,0
2095,GR,1980-10-01,0,1
2095,CY,1980-10-01,1,0
2095,BG,1980-10-01,1,0
2095,RO,1980-10-01,1,0
2095,RU,1980-10-01,1,0
2095,UA,1980-10-01,1,0
2095,BY,1980-10-01,1,0
2095,FI,1980-10-01,1,0
2095,SE,1980-10-01,0,1
2095,NO,1980-10-01,0,1
2095,DK,1980-10-01,0,1
2095,IS,1980-10-01,0,1
2095,CV,1980-10-01,1,0
2095,ST,1980-10-01,1,0
2095,GW,1980-10-01,1,0
2095,GM,1980-10-01,1,0
2095,ML,1980-10-01,1,0
2095,NE,1980-10-01,1,0
2095,CI,1980-10-01,0,1
2095,GN,1980-10-01,1,0
2095,BF,1980-10-01,0,1
2095,LR,1980-10-01,0,1
2095,GH,1980-10-01,0,1
2095,TG,1980-10-01,1,0
2095,CM,1980-10-01,1,0
2095,NG,1980-10-01,1,0
2095,GA,1980-10-01,1,0
2095,CF,1980-10-01,0,1
2095,TD,1980-10-01,0,1
2095,CG,1980-10-01,1,0
2095,CD,1980-10-01,0,1
2095,KE,1980-10-01,0,1
2095,TZ,1980-10-01,1,0
2095,BI,1980-10-01,1,0
2095,RW,1980-10-01,1,0
2095,ET,1980-10-01,1,0
2095,MZ,1980-10-01,1,0
2095,ZM,1980-10-01,1,0
2095,ZW,1980-10-01,1,0
2095,MW,1980-10-01,0,1
2095,MG,1980-10-01,1,0
2095,MU,1980-10-01,1,0
2095,DZ,1980-10-01,1,0
2095,TN,1980-10-01,1,0
2095,LY,1980-10-01,1,0
2095,IR,1980-10-01,1,0
2095,TR,1980-10-01,0,1
2095,IQ,1980-10-01,1,0
2095,EG,1980-10-01,0,1
2095,SY,1980-10-01,1,0
2095,LB,1980-10-01,1,0
2095,IL,1980-10-01,0,1
2095,SA,1980-10-01,0,1
2095,NA,1980-10-01,1,0
2095,YD,1980-10-01,1,0
2095,KW,1980-10-01,1,0
