rcid,country_code,disaster_before_vote,number_disasters,total_affected
1268,US,0,0,0
1268,CA,0,0,0
1268,CU,0,0,0
1268,HT,0,0,0
1268,DO,0,0,0
1268,JM,0,0,0
1268,TT,0,0,0
1268,MX,0,0,0
1268,GT,0,0,0
1268,HN,0,0,0
1268,SV,0,0,0
1268,NI,0,0,0
1268,CR,0,0,0
1268,PA,0,0,0
1268,CO,1,3,151
1268,VE,0,0,0
1268,GY,1,1,21000
1268,EC,1,1,2400
1268,PE,1,1,330250
1268,BR,1,2,13239
1268,BO,0,0,0
1268,PY,1,1,27000
1268,CL,0,0,0
1268,AR,0,0,0
1268,UY,0,0,0
1268,GB,0,0,0
1268,IE,0,0,0
1268,NL,0,0,0
1268,BE,1,1,600
1268,LU,0,0,0
1268,FR,0,0,0
1268,ES,0,0,0
1268,PT,0,0,0
1268,PL,0,0,0
1268,AT,0,0,0
1268,HU,0,0,0
1268,CS,0,0,0
1268,IT,0,0,0
1268,MT,0,0,0
1268,YU,0,0,0
1268,GR,0,0,0
1268,CY,0,0,0
1268,BG,0,0,0
1268,RO,0,0,0
1268,RU,0,0,0
1268,UA,0,0,0
1268,BY,0,0,0
1268,FI,0,0,0
1268,SE,0,0,0
1268,NO,0,0,0
1268,DK,0,0,0
1268,IS,0,0,0
1268,GQ,0,0,0
1268,ML,0,0,0
1268,SN,0,0,0
1268,BJ,0,0,0
1268,MR,0,0,0
1268,NE,0,0,0
1268,CI,0,0,0
1268,GN,0,0,0
1268,BF,0,0,0
1268,LR,0,0,0
1268,GH,1,1,12000
1268,TG,1,1,150000
1268,CM,1,1,400000
1268,NG,0,0,0
1268,GA,0,0,0
1268,CF,0,0,0
1268,TD,0,0,0
1268,CG,0,0,0
1268,CD,0,0,0
1268,UG,0,0,0
1268,KE,1,1,150000
1268,TZ,0,0,0
1268,BI,0,0,0
1268,RW,0,0,0
1268,SO,0,0,0
1268,ET,0,0,0
1268,ZM,0,0,0
1268,MW,0,0,0
1268,ZA,0,0,0
1268,LS,0,0,0
1268,BW,0,0,0
1268,SZ,0,0,0
1268,MG,0,0,0
1268,MA,1,1,137000
1268,DZ,0,0,0
1268,TN,0,0,0
1268,LY,0,0,0
1268,SD,0,0,0
1268,IR,0,0,0
1268,TR,0,0,0
1268,IQ,0,0,0
1268,EG,0,0,0
1268,SY,0,0,0
1268,LB,0,0,0
1268,JO,0,0,0
1268,IL,0,0,0
1268,SA,0,0,0
1268,0,0,0,0
1268,YD,0,0,0
1268,KW,0,0,0
1268,BH,0,0,0
1268,AE,0,0,0
1268,OM,0,0,0
1268,MN,0,0,0
1268,JP,0,0,0
1268,IN,1,3,166323
1268,PK,0,0,0
1268,MM,0,0,0
1268,LK,0,0,0
1268,NP,0,0,0
1268,TH,0,0,0
1268,LA,1,1,115014
1268,MY,1,1,243061
1268,SG,0,0,0
1268,PH,0,0,0
1268,ID,1,1,82
1268,AU,1,1,27
1268,NZ,0,0,0
2095,US,1,2,116036
2095,CA,1,1,5000
2095,CU,0,0,0
2095,DO,0,0,0
2095,JM,0,0,0
2095,TT,0,0,0
2095,MX,1,1,100
2095,HN,1,1,40001
2095,NI,1,1,30000
2095,CR,0,0,0
2095,PA,0,0,0
2095,CO,1,1,102062
2095,VE,0,0,0
2095,GY,0,0,0
2095,EC,0,0,0
2095,PE,1,1,36070
2095,BR,1,2,271067
2095,BO,0,0,0
2095,CL,0,0,0
2095,AR,1,2,40041
2095,GB,0,0,0
2095,IE,0,0,0
2095,NL,0,0,0
2095,BE,0,0,0
2095,LU,0,0,0
2095,FR,1,1,319
2095,ES,0,0,0
2095,PT,0,0,0
2095,0,0,0,0
2095,DD,0,0,0
2095,PL,1,1,4500
2095,AT,0,0,0
2095,HU,0,0,0
2095,CS,0,0,0
2095,IT,0,0,0
2095,YU,0,0,0
2095,GR,1,1,15
2095,CY,0,0,0
2095,BG,0,0,0
2095,RO,0,0,0
2095,RU,0,0,0
2095,UA,0,0,0
2095,BY,0,0,0
2095,FI,0,0,0
2095,SE,0,0,0
2095,NO,0,0,0
2095,DK,0,0,0
2095,IS,0,0,0
2095,CV,0,0,0
2095,ST,0,0,0
2095,GW,0,0,0
2095,GM,1,1,500000
2095,ML,1,1,1500000
2095,NE,1,1,3500000
2095,CI,0,0,0
2095,GN,0,0,0
2095,BF,0,0,0
2095,LR,0,0,0
2095,GH,0,0,0
2095,TG,0,0,0
2095,CM,0,0,0
2095,NG,0,0,0
2095,GA,0,0,0
2095,CF,0,0,0
2095,TD,0,0,0
2095,CG,0,0,0
2095,CD,0,0,0
2095,KE,0,0,0
2095,TZ,0,0,0
2095,BI,0,0,0
2095,RW,0,0,0
2095,ET,0,0,0
2095,MZ,0,0,0
2095,ZM,0,0,0
2095,ZW,0,0,0
2095,MW,0,0,0
2095,MG,0,0,0
2095,MU,0,0,0
2095,DZ,1,1,30000
2095,TN,0,0,0
2095,LY,0,0,0
2095,IR,1,2,950356
2095,TR,1,1,60075
2095,IQ,0,0,0
2095,EG,1,1,66050
2095,SY,0,0,0
2095,LB,0,0,0
2095,IL,0,0,0
2095,SA,0,0,0
2095,0,0,0,0
